entry_time,exit_time,direction,entry,sl,tp,exit_price,pnl,result,risk_pts,month
2025-01-01 01:20:00+00:00,2025-01-01 01:30:00+00:00,SELL,93833.5,93933.5,93683.5,93933.5,-100.0,SL,100.0,2025-01
2025-01-01 03:40:00+00:00,2025-01-01 03:45:00+00:00,BUY,93834.5,93734.5,93984.5,93734.5,-100.0,SL,100.0,2025-01
2025-01-01 04:00:00+00:00,2025-01-01 04:35:00+00:00,SELL,93758.5,93858.5,93608.5,93608.5,150.0,TP,100.0,2025-01
2025-01-01 04:45:00+00:00,2025-01-01 05:20:00+00:00,SELL,93594.0,93694.0,93444.0,93694.0,-100.0,SL,100.0,2025-01
2025-01-01 08:20:00+00:00,2025-01-01 08:25:00+00:00,SELL,93643.5,93743.5,93493.5,93493.5,150.0,TP,100.0,2025-01
2025-01-01 08:45:00+00:00,2025-01-01 08:50:00+00:00,SELL,93363.5,93463.5,93213.5,93463.5,-100.0,SL,100.0,2025-01
2025-01-01 12:20:00+00:00,2025-01-01 12:25:00+00:00,BUY,93687.5,93587.5,93837.5,93837.5,150.0,TP,100.0,2025-01
2025-01-01 13:05:00+00:00,2025-01-01 13:25:00+00:00,SELL,93656.5,93756.5,93506.5,93756.5,-100.0,SL,100.0,2025-01
2025-01-01 16:30:00+00:00,2025-01-01 16:35:00+00:00,SELL,94054.5,94154.5,93904.5,94154.5,-100.0,SL,100.0,2025-01
2025-01-01 19:30:00+00:00,2025-01-01 19:35:00+00:00,SELL,94142.0,94242.0,93992.0,94242.0,-100.0,SL,100.0,2025-01
2025-01-01 20:45:00+00:00,2025-01-01 21:05:00+00:00,BUY,94831.5,94731.5,94981.5,94731.5,-100.0,SL,100.0,2025-01
2025-01-01 22:05:00+00:00,2025-01-01 22:40:00+00:00,SELL,94759.0,94859.0,94609.0,94859.0,-100.0,SL,100.0,2025-01
2025-01-02 00:25:00+00:00,2025-01-02 00:30:00+00:00,BUY,94913.5,94813.5,95063.5,94813.5,-100.0,SL,100.0,2025-01
2025-01-02 03:05:00+00:00,2025-01-02 03:15:00+00:00,SELL,95007.5,95107.5,94857.5,95107.5,-100.0,SL,100.0,2025-01
2025-01-02 08:00:00+00:00,2025-01-02 08:10:00+00:00,BUY,95872.5,95772.5,96022.5,96022.5,150.0,TP,100.0,2025-01
2025-01-02 09:50:00+00:00,2025-01-02 09:55:00+00:00,BUY,96487.5,96387.5,96637.5,96637.5,150.0,TP,100.0,2025-01
2025-01-02 11:05:00+00:00,2025-01-02 11:15:00+00:00,BUY,96747.5,96647.5,96897.5,96647.5,-100.0,SL,100.0,2025-01
2025-01-02 13:15:00+00:00,2025-01-02 13:25:00+00:00,SELL,96651.0,96751.0,96501.0,96751.0,-100.0,SL,100.0,2025-01
2025-01-02 14:30:00+00:00,2025-01-02 14:35:00+00:00,BUY,96623.0,96523.0,96773.0,96523.0,-100.0,SL,100.0,2025-01
2025-01-02 16:10:00+00:00,2025-01-02 16:15:00+00:00,BUY,96570.5,96570.5,96720.5,96720.5,150.0,TP,0.0,2025-01
2025-01-02 18:30:00+00:00,2025-01-02 18:35:00+00:00,SELL,96699.0,96799.0,96549.0,96799.0,-100.0,SL,100.0,2025-01
2025-01-02 20:30:00+00:00,2025-01-02 20:35:00+00:00,SELL,97541.0,97641.0,97391.0,97391.0,150.0,TP,100.0,2025-01
2025-01-02 21:40:00+00:00,2025-01-02 21:45:00+00:00,BUY,97239.0,97139.0,97389.0,97139.0,-100.0,SL,100.0,2025-01
2025-01-03 01:50:00+00:00,2025-01-03 02:10:00+00:00,BUY,96877.0,96777.0,97027.0,97027.0,150.0,TP,100.0,2025-01
2025-01-03 03:50:00+00:00,2025-01-03 04:00:00+00:00,BUY,96994.0,96894.0,97144.0,96894.0,-100.0,SL,100.0,2025-01
2025-01-03 06:20:00+00:00,2025-01-03 06:45:00+00:00,SELL,96668.0,96768.0,96518.0,96518.0,150.0,TP,100.0,2025-01
2025-01-03 07:15:00+00:00,2025-01-03 07:20:00+00:00,BUY,96565.5,96465.5,96715.5,96465.5,-100.0,SL,100.0,2025-01
2025-01-03 08:05:00+00:00,2025-01-03 08:30:00+00:00,BUY,96381.0,96281.0,96531.0,96281.0,-100.0,SL,100.0,2025-01
2025-01-03 09:10:00+00:00,2025-01-03 09:15:00+00:00,BUY,96273.5,96173.5,96423.5,96423.5,150.0,TP,100.0,2025-01
2025-01-03 11:20:00+00:00,2025-01-03 11:25:00+00:00,BUY,96611.0,96511.0,96761.0,96761.0,150.0,TP,100.0,2025-01
2025-01-03 12:15:00+00:00,2025-01-03 12:20:00+00:00,SELL,96670.5,96770.5,96520.5,96770.5,-100.0,SL,100.0,2025-01
2025-01-03 12:40:00+00:00,2025-01-03 13:05:00+00:00,SELL,96670.5,96770.5,96520.5,96520.5,150.0,TP,100.0,2025-01
2025-01-03 13:55:00+00:00,2025-01-03 14:00:00+00:00,SELL,96467.0,96567.0,96317.0,96567.0,-100.0,SL,100.0,2025-01
